Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.692120,0.000050000,-0.4100,-0.0100,0.00010,0.100000,0,20.000,1000.00,0.300,AUD/USD
EUR/AUD,1.61649,0.000110000,-0.9066,0.2284,0.00010,0.069206,0,20.000,1000.00,0.300,EUR/AUD
EUR/CAD,1.50769,0.000100000,-0.9349,0.4304,0.00010,0.074201,0,30.004,1000.00,0.300,EUR/CAD
EUR/CHF,1.12329,0.000080000,-0.2391,-0.7570,0.00010,0.099608,0,30.008,1000.00,0.300,EUR/CHF
EUR/NZD,1.70809,0.000160000,-0.9693,0.3078,0.00010,0.065495,0,20.000,1000.00,0.300,EUR/NZD
EUR/USD,1.11873,0.000020000,-1.2100,0.6800,0.00010,0.100000,0,30.003,1000.00,0.300,EUR/USD
GBP/USD,1.26700,0.000060000,-1.0700,0.2900,0.00010,0.100000,0,30.003,1000.00,0.300,GBP/USD
USD/CAD,1.34773,0.000060000,-0.0223,-0.4378,0.00010,0.074201,0,30.004,1000.00,0.300,USD/CAD
USD/CHF,1.00401,0.000080000,1.4343,-2.4703,0.00010,0.099608,0,30.005,1000.00,0.300,USD/CHF
USD/JPY,109.38,0.00500000,0.5394,-1.0148,0.01000,0.091425,0,30.004,1000.00,0.300,USD/JPY
